==========================================
SLURM_JOB_ID = 691528
SLURM_NODELIST = gnode061
SLURM_JOB_GPUS = 0,1,2,3
==========================================

Training config is located in `experiment_config.yaml`

Output directory:   /ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output
Training data:      data/rainbow_processed_128
Training duration:  25000 kimg
Number of GPUs:     2
Number of videos:   34525
Image resolution:   128
Conditional model:  False
Dataset x-flips:    True

Creating output directory...
Launching processes...
Loading training set...

Num videos:  69050
Image shape: [3, 128, 128]
Label shape: [0]

Constructing networks...
Resuming from "/ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output/network-snapshot-000000.pkl"
Setting up augmentation...
Distributing across 2 GPUs...
Setting up training phases...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... Done.
Initializing logs...
Training for 25000 kimg...

tick 35    kimg 176.5    time 30m 15s      sec/tick 51.1    sec/kimg 10.14   maintenance 0.0    cpumem 3.86   gpumem 6.09   augment 0.096
tick 36    kimg 181.5    time 31m 07s      sec/tick 51.7    sec/kimg 10.27   maintenance 0.0    cpumem 3.86   gpumem 6.09   augment 0.099
tick 37    kimg 186.6    time 31m 59s      sec/tick 51.4    sec/kimg 10.20   maintenance 0.0    cpumem 3.86   gpumem 6.10   augment 0.102
tick 38    kimg 191.6    time 32m 50s      sec/tick 51.5    sec/kimg 10.23   maintenance 0.0    cpumem 3.86   gpumem 6.12   augment 0.105
tick 39    kimg 196.7    time 33m 42s      sec/tick 51.5    sec/kimg 10.23   maintenance 0.0    cpumem 3.86   gpumem 6.09   augment 0.108
tick 40    kimg 201.7    time 34m 33s      sec/tick 51.4    sec/kimg 10.19   maintenance 0.1    cpumem 3.86   gpumem 6.10   augment 0.110
tick 41    kimg 206.7    time 35m 25s      sec/tick 51.6    sec/kimg 10.24   maintenance 0.0    cpumem 3.86   gpumem 6.09   augment 0.111
tick 42    kimg 211.8    time 36m 17s      sec/tick 51.8    sec/kimg 10.27   maintenance 0.0    cpumem 3.86   gpumem 6.10   augment 0.113
tick 43    kimg 216.8    time 37m 09s      sec/tick 51.9    sec/kimg 10.30   maintenance 0.0    cpumem 3.86   gpumem 6.10   augment 0.116
tick 44    kimg 221.9    time 38m 01s      sec/tick 52.0    sec/kimg 10.31   maintenance 0.0    cpumem 3.86   gpumem 6.09   augment 0.118
tick 45    kimg 226.9    time 38m 52s      sec/tick 51.8    sec/kimg 10.27   maintenance 0.0    cpumem 3.86   gpumem 6.10   augment 0.120
